Title;Year;Description;Img
Memento;2000;Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife`s killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he`s going, or why.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/yuNs09hvpHVU1cBTCAk9zxsL2oW.jpg
Django Unchained;2012;With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg
Raiders of the Lost Ark;1981;When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/ceG9VzoRAVGwivFU403Wc3AHRys.jpg
WALL·E;2008;WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he`s finally found a friend and stows away on the ship when it leaves.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/Agc6lw8pb6BIGVeguvdjDT0p9Mb.jpg
The Lives of Others;2006;In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/pUKnhEQvQJI7SAIMbDsmrXUAMVE.jpg
Sunset Blvd.;1950;"Commissioned by The Getty Museum on the occasion of their 2019 Getty Medal to the painter, draftsman, photographer, and bookmaker, Ed Ruscha. Utilizing The Getty Research Institute`s preservation and digitization of over a million images from Ed`s Streets of Los Angeles photo series, and excerpts from Jack Kerouac`s ""On The Road,"" this film puts together two of Ed`s major inspirations: Kerouac`s text and the city of Los Angeles.";https://www.themoviedb.org/t/p/w600_and_h900_bestv2/i355u6490I0vsNrvORwfp0qvoqw.jpg
Paths of Glory;1957;A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/l2IY0gOHHmCWM90LjteFssxIV1G.jpg
The Shining;1980;Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren`t prepared for the madness that lurks within.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/nRj5511mZdTl4saWEPoj9QroTIu.jpg
The Great Dictator;1940;Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel`s regime.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/1QpO9wo7JWecZ4NiBuu625FiY1j.jpg
Avengers: Infinity War;2018;As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg
Witness for the Prosecution;1957;When Leonard Vole is arrested for the sensational murder of a rich, middle-aged widow, the famous Sir Wilfrid Robarts agrees to appear on his behalf. Sir Wilfrid, recovering from a near-fatal heart attack, is supposed to be on a diet of bland, civil suits—but the lure of the criminal courts is too much for him, especially when the case is so difficult.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/mM5Cad2ESBprh6ucPnMzMfI34Cu.jpg
Aliens;1986;When Ripley`s lifepod is found by a salvage crew over 50 years later, she finds that terra-formers are on the very planet they found the alien species. When the company sends a family of colonists out to investigate her story—all contact is lost with the planet and colonists. They enlist Ripley and the colonial marines to return and search for answers.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/r1x5JGpyqZU8PYhbs4UcrO1Xb6x.jpg
Spider-Man: Into the Spider-Verse;2018;"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.";https://www.themoviedb.org/t/p/w600_and_h900_bestv2/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg
American Beauty;1999;Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter`s attractive friend.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/wby9315QzVKdW9BonAefg8jGTTb.jpg
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;1964;After the insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/7SixLzxcqezkZEYU8pcHZgbkmjp.jpg
The Dark Knight Rises;2012;Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent`s crimes to protect the late attorney`s reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham`s finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/85cWkCVftiVs0BVey6pxX8uNmLt.jpg
Inglourious Basterds;2009;"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.";https://www.themoviedb.org/t/p/w600_and_h900_bestv2/7sfbEnaARXDDhKm0CZ7D7uc2sbo.jpg
Oldboy;2003;An everyday man has only three and a half days and limited resources to discover why he was imprisoned in a nondescript room for 20 years without any explanation.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/iX93YdBrZA1EpGbphmjf4ARj1Za.jpg
Amadeus;1984;Wolfgang Amadeus Mozart is a remarkably talented young Viennese composer who unwittingly finds a fierce rival in the disciplined and determined Antonio Salieri. Resenting Mozart for both his hedonistic lifestyle and his undeniable talent, the highly religious Salieri is gradually consumed by his jealousy and becomes obsessed with Mozart`s downfall, leading to a devious scheme that has dire consequences for both men.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/1n5VUlCqgmVax1adxGZm8oCFaKc.jpg
Coco;2017;Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel`s family history.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg
Toy Story;1995;Led by Woody, Andy`s toys live happily in his room until Andy`s birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy`s heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
Braveheart;1995;Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord`s soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/or1gBugydmjToAEq7OZY0owwFk.jpg
Joker;2019;During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg
Das Boot;1981;A German submarine hunts allied ships during the Second World War, but it soon becomes the hunted. The crew tries to survive below the surface, while stretching both the boat and themselves to their limits.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/fSI5yoee0mBxwNyCvf8m3B5tFMu.jpg
Avengers: Endgame;2019;After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos` actions and restore order to the universe once and for all, no matter what consequences may be in store.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/or06FN3Dka5tukK1e9sl16pB3iy.jpg
Princess Mononoke;1997;Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/cMYCDADoLKLbB83g4WnJegaZimC.jpg
Good Will Hunting;1997;Will Hunting has a genius-level IQ but chooses to work as a janitor at MIT. When he solves a difficult graduate-level math problem, his talents are discovered by Professor Gerald Lambeau, who decides to help the misguided youth reach his potential. When Will is arrested for attacking a police officer, Professor Lambeau makes a deal to get leniency for him if he will get treatment from therapist Sean Maguire.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/bABCBKYBK7A5G1x0FzoeoNfuj2.jpg
Once Upon a Time in America;1984;A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/i0enkzsL5dPeneWnjl1fCWm6L7k.jpg
Your Name.;2016;High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/q719jXXEzOoYaps6babgKnONONX.jpg
Singin` in the Rain;1952;In 1927 Hollywood, a silent film production company and cast make a difficult transition to sound.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/zjrpWniKbzu0zFR5sUI1Ptdfl9y.jpg
