Title;Year;Description;Img
The Bridge on the River Kwai;1957;The classic story of English POWs in Burma forced to build a bridge to aid the war effort of their Japanese captors. British and American intelligence officers conspire to blow up the structure, but Col. Nicholson , the commander who supervised the bridge`s construction, has acquired a sense of pride in his creation and tries to foil their plans.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/7paXMt2e3Tr5dLmEZOGgFEn2Vo7.jpg
Prisoners;2013;Keller Dover faces a parent`s worst nightmare when his 6-year-old daughter, Anna, and her friend go missing. The only lead is an old motorhome that had been parked on their street. The head of the investigation, Detective Loki, arrests the driver, but a lack of evidence forces Loki to release his only suspect. Dover, knowing that his daughter`s life is at stake, decides that he has no choice but to take matters into his own hands.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/tuZhZ6biFMr5n9YSVuHOJnNL1uU.jpg
Warrior;2011;The youngest son of an alcoholic former boxer returns home, where he`s trained by his father for competition in a mixed martial arts tournament – a path that puts the fighter on a collision course with his estranged, older brother.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/iM8n4nZJPR2abpnyZ36FUgHiRjr.jpg
Fargo;1996;Jerry, a small-town Minnesota car salesman is bursting at the seams with debt... but he`s got a plan. He`s going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. It`s going to be a snap and nobody`s going to get hurt... until people start dying. Enter Police Chief Marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who`ll stop at nothing to get her man. And if you think her small-time investigative skills will give the crooks a run for their ransom... you betcha!;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/rt7cpEr1uP6RTZykBFhBTcRaKvG.jpg
Gran Torino;2008;Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski`s prized possession: a 1972 Gran Torino.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/zUybYvxWdAJy5hhYovsXtHSWI1l.jpg
Catch Me If You Can;2002;A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/sdYgEkKCDPWNU6KnoL4qd8xZ4w7.jpg
My Neighbor Totoro;1988;Two sisters move to the country with their father in order to be closer to their hospitalized mother, and discover the surrounding trees are inhabited by Totoros, magical spirits of the forest. When the youngest runs away from home, the older sister seeks help from the spirits to find her.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/rtGDOeG9LzoerkDGZF9dnVeLppL.jpg
Million Dollar Baby;2004;Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn`t prepared for boxer Maggie Fitzgerald to enter his life. But Maggie`s determined to go pro and to convince Dunn and his cohort to help her.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/2ti3l1OeB8G94yyqfAI7nmMZUbA.jpg
Children of Heaven;1997;"Zohre`s shoes are gone; her older brother Ali lost them. They are poor, there are no shoes for Zohre until they come up with an idea: they will share one pair of shoes. School awaits.";https://www.themoviedb.org/t/p/w600_and_h900_bestv2/jWqh1CJWAEcxckMRrf6ARhIEh0R.jpg
Blade Runner;1982;In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/63N9uy8nd9j7Eog2axPQ8lbr3Wj.jpg
The Gold Rush;1925;A gold prospector in Alaska struggles to survive the elements and win the heart of a dance hall girl.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/eQRFo1qwRREYwj47Yoe1PisgOle.jpg
Klaus;2019;When Jesper distinguishes himself as the Postal Academy`s worst student, he is sent to Smeerensburg, a small village located on an icy island above the Arctic Circle, where grumpy inhabitants barely exchange words, let alone letters. Jesper is about to give up and abandon his duty as a postman when he meets local teacher Alva and Klaus, a mysterious carpenter who lives alone in a cabin full of handmade toys.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/q125RHUDgR4gjwh1QkfYuJLYkL.jpg
Harry Potter and the Deathly Hallows: Part 2;2011;Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort`s formidable skills.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/c54HpQmuwXjHq2C9wmoACjxoom3.jpg
Before Sunrise;1995;A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/kf1Jb1c2JAOqjuzA3H4oDM263uB.jpg
12 Years a Slave;2013;In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/xdANQijuNrJaw1HA61rDccME4Tm.jpg
Ben-Hur;1959;In 25 AD, Judah Ben-Hur, a Jew in ancient Judea, opposes the occupying Roman empire.  Falsely accused by a Roman childhood friend-turned-overlord of trying to kill the Roman governor, he is put into slavery and his mother and sister are taken away as prisoners.  Three years later and freed by a grateful Roman galley commander whom he has rescued from drowning, he becomes an expert charioteer for Rome, all the while plotting to return to Judea, find and rescue his family, and avenge himself on his former friend.  All the while, the form and work of Jesus move in the background of his life...;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/m4WQ1dBIrEIHZNCoAjdpxwSKWyH.jpg
The Grand Budapest Hotel;2014;The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/eWdyYQreja6JGCzqHWXpWHDrrPo.jpg
On the Waterfront;1954;Terry Malloy dreams about being a prize fighter, while tending his pigeons and running errands at the docks for Johnny Friendly, the corrupt boss of the dockers union. Terry witnesses a murder by two of Johnny`s thugs, and later meets the dead man`s sister and feels responsible for his death. She introduces him to Father Barry, who tries to force him to provide information for the courts that will smash the dock racketeers.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/fKjLZy9W8VxMOp5OoyWojmLVCQw.jpg
Gone Girl;2014;With his wife`s disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it`s suspected that he may not be innocent.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/qymaJhucquUwjpb8oiqynMeXnID.jpg
Wild Strawberries;1957;Crotchety retired doctor Isak Borg travels from Stockholm to Lund, Sweden, with his pregnant and unhappy daughter-in-law, Marianne, in order to receive an honorary degree from his alma mater. Along the way, they encounter a series of hitchhikers, each of whom causes the elderly doctor to muse upon the pleasures and failures of his own life. These include the vivacious young Sara, a dead ringer for the doctor`s own first love.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/iyTD2QnySNMPUPE3IedZQipSWfz.jpg
The General;1926;During America’s Civil War, Union spies steal engineer Johnnie Gray`s beloved locomotive, `The General`—with Johnnie`s lady love aboard an attached boxcar—and he single-handedly must do all in his power to both get The General back and to rescue Annabelle.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/iaV7LKAEialeaKDtf22SrYMqeFC.jpg
Barry Lyndon;1975;An Irish rogue uses his cunning and wit to work his way up the social classes of 18th century England, transforming himself from the humble Redmond Barry into the noble Barry Lyndon.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/3YJEv83HWWgCKezTiQ9LhdR7cFU.jpg
John Wick: Chapter 4;2023;With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg
In the Name of the Father;1993;A small time thief from Belfast, Gerry Conlon, is falsely implicated in the IRA bombing of a pub that kills several people while he is in London. He and his four friends are coerced by British police into confessing their guilt. Gerry`s father and other relatives in London are also implicated in the crime. He spends fifteen years in prison with his father trying to prove his innocence.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/5HaQacOMOjA2wX1XnwnDd2VaXCf.jpg
The Deer Hunter;1978;A group of working-class friends decide to enlist in the Army during the Vietnam War and finds it to be hellish chaos -- not the noble venture they imagined. Before they left, Steven married his pregnant girlfriend -- and Michael and Nick were in love with the same woman. But all three are different men upon their return.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/bbGtogDZOg09bm42KIpCXUXICkh.jpg
Hacksaw Ridge;2016;WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/jhWbYeUNOA5zAb6ufK6pXQFXqTX.jpg
The Third Man;1949;"In postwar Vienna, Austria, Holly Martins, a writer of pulp Westerns, arrives penniless as a guest of his childhood chum Harry Lime, only to learn he has died. Martins develops a conspiracy theory after learning of a ""third man"" present at the time of Harry`s death, running into interference from British officer Major Calloway, and falling head-over-heels for Harry`s grief-stricken lover, Anna.";https://www.themoviedb.org/t/p/w600_and_h900_bestv2/oIF3l7Dxp7Eyye10BNyM611wtKa.jpg
The Wages of Fear;1953;In a run-down South American town, four men are paid to drive trucks loaded with nitroglycerin into the jungle through to the oil field. Friendships are tested and rivalries develop as they embark upon the perilous journey.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/dZyZSosIlWcpQkV0f7pXcrV2TQV.jpg
Memories of Murder;2003;During the late 1980s, two detectives in a South Korean province attempt to solve the nation`s first series of rape-and-murder cases.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/jcgUjx1QcupGzjntTVlnQ15lHqy.jpg
Wild Tales;2014;Six deadly stories that explore the extremities of human behaviour involving distressed people seeking revenge.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/pvSty5MCAxdj8LlAEXCDfM1YNOl.jpg
Sherlock Jr.;1924;A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend`s father`s pocketwatch.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/1G9r3rqtbFAQuyWKOZm4Y5J5s7Q.jpg
Mr. Smith Goes to Washington;1939;Naive and idealistic Jefferson Smith, leader of the Boy Rangers, is appointed to the United States Senate by the puppet governor of his state. He soon discovers, upon going to Washington, many shortcomings of the political process as his earnest goal of a national boys` camp leads to a conflict with the state political boss.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/nDjg1fbNyq15excNDl3acd2IqAk.jpg
Mad Max: Fury Road;2015;An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/8tZYtuWezp8JbcsvHYO0O46tFbo.jpg
Mary and Max;2009;A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/b4LKlquh0ls5Rgb27QLPlkC7Oya.jpg
How to Train Your Dragon;2010;As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/ygGmAO60t8GyqUo9xYeYxSZAR3b.jpg
The Seventh Seal;1957;When disillusioned Swedish knight Antonius Block returns home from the Crusades to find his country in the grips of the Black Death, he challenges Death to a chess match for his life. Tormented by the belief that God does not exist, Block sets off on a journey, meeting up with traveling players Jof and his wife, Mia, and becoming determined to evade Death long enough to commit one redemptive act while he still lives.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/wcZ21zrOsy0b52AfAF50XpTiv75.jpg
Monsters, Inc.;2001;James Sullivan and Mike Wazowski are monsters, they earn their living scaring children and are the best in the business... even though they`re more afraid of the children than they are of them. When a child accidentally enters their world, James and Mike suddenly find that kids are not to be afraid of and they uncover a conspiracy that could threaten all children across the world.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/sgheSKxZkttIe8ONsf2sWXPgip3.jpg
Dead Poets Society;1989;At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/ai40gM7SUaGA6fthvsd87o8IQq4.jpg
Jaws;1975;When an insatiable great white shark terrorizes the townspeople of Amity Island, the police chief, an oceanographer and a grizzled shark hunter seek to destroy the blood-thirsty beast.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/lxM6kqilAdpdhqUl2biYp5frUxE.jpg
Room;2015;Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/pCURNjeomWbMSdiP64gj8NVVHTQ.jpg
The Big Lebowski;1998;Jeffrey `The Dude` Lebowski, a Los Angeles slacker who only wants to bowl and drink White Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/juxXYe0VhoNS841sbc4zvz7FHef.jpg
Tokyo Story;1953;The elderly Shukishi and his wife, Tomi, take the long journey from their small seaside village to visit their adult children in Tokyo. Their elder son, Koichi, a doctor, and their daughter, Shige, a hairdresser, don`t have much time to spend with their aged parents, and so it falls to Noriko, the widow of their younger son who was killed in the war, to keep her in-laws company.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/g2YbTYKpY7N2yDSk7BfXZ18I5QV.jpg
The Passion of Joan of Arc;1928;A classic of the silent age, this film tells the story of the doomed but ultimately canonized 15th-century teenage warrior. On trial for claiming she`d spoken to God, Jeanne d`Arc is subjected to inhumane treatment and scare tactics at the hands of church court officials. Initially bullied into changing her story, Jeanne eventually opts for what she sees as the truth. Her punishment, a famously brutal execution, earns her perpetual martyrdom.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/8OYGtQlO8k9PcOm49apV62eVJQo.jpg
Ford v Ferrari;2019;American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/dR1Ju50iudrOh3YgfwkAU1g2HZe.jpg
Hotel Rwanda;2004;Inspired by true events, this film takes place in Rwanda in the 1990s when more than a million Tutsis were killed in a genocide that went mostly unnoticed by the rest of the world. Hotel owner Paul Rusesabagina houses over a thousand refuges in his hotel in attempt to save their lives.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/p3pHw85UMZPegfMZBA6dZ06yarm.jpg
Rocky;1976;An uneducated collector for a Philadelphia loan shark is given a once-in-a-lifetime opportunity to fight against the world heavyweight boxing champion.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/hEjK9A9BkNXejFW4tfacVAEHtkn.jpg
Ratatouille;2007;Remy, a resident of Paris, appreciates good food and has quite a sophisticated palate. He would love to become a chef so he can create and enjoy culinary masterpieces to his heart`s delight. The only problem is, Remy is a rat. When he winds up in the sewer beneath one of Paris` finest restaurants, the rodent gourmet finds himself ideally placed to realize his dream.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/t3vaWRPSf6WjDSamIkKDs1iQWna.jpg
Platoon;1986;As a young and naive recruit in Vietnam, Chris Taylor faces a moral crisis when confronted with the horrors of war and the duality of man.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/8hDlxJZYCJJLRHbSk7hsRQ9SNp7.jpg
Spotlight;2015;The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/rBkptJyAMqCfoMwUGQfCpubroec.jpg
Logan;2017;In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan`s attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/fnbjcRDYn6YviCcePDnGdyAkYsB.jpg
The Terminator;1984;"In the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile, the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?";https://www.themoviedb.org/t/p/w600_and_h900_bestv2/kdYu7YJJP0uuGEuhUX5toqvBSog.jpg
Stand by Me;1986;Nobita travels to the future to show his beloved grandma his bride, but adult Nobita has fled his own wedding.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/vBv8iOFPLnXmtELUjcFc7OKHsR4.jpg
Rush;2013;A biographical drama centered on the rivalry between Formula 1 drivers James Hunt and Niki Lauda during the 1976 Formula One motor-racing season.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/5akKFgS7eeXUw9rKTEujryKrH17.jpg
Network;1976;When veteran anchorman Howard Beale is forced to retire his 25-year post because of his age, he announces to viewers that he will kill himself during his farewell broadcast. Network executives rethink their decision when his fanatical tirade results in a spike in ratings.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/qZomlHsaALUtkFeMDwdYmwS2Pbo.jpg
Before Sunset;2004;Nine years later, Jesse travels across Europe giving readings from a book he wrote about the night he spent in Vienna with Celine. After his reading in Paris, Celine finds him, and they spend part of the day together before Jesse has to again leave for a flight. They are both in relationships now, and Jesse has a son, but as their strong feelings for each other start to return, both confess a longing for more.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/gycdE1ARByGQcK4fYR2mgpU6OO.jpg
Into the Wild;2007;After graduating from Emory University in 1992, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity, and hitchhikes to Alaska to live in the wilderness.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/2MSGZEE6XZd2r4ODNziwAw7Hpw0.jpg
The Wizard of Oz;1939;Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/bSA6DbAC5gdkaooU164lQUX6rVs.jpg
The Best Years of Our Lives;1946;It`s the hope that sustains the spirit of every GI: the dream of the day when he will finally return home. For three WWII veterans, the day has arrived. But for each man, the dream is about to become a nightmare.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/gd5EoAU4MM57sW3vlWxJ0NMM8cV.jpg
The Exorcist;1973;12-year-old Regan MacNeil begins to adapt an explicit new personality as strange events befall the local area of Georgetown. Her mother becomes torn between science and superstition in a desperate bid to save her daughter, and ultimately turns to her last hope: Father Damien Karras, a troubled priest who is struggling with his own faith.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/4ucLGcXVVSVnsfkGtbLY4XAius8.jpg
Groundhog Day;1993;A narcissistic TV weatherman, along with his attractive-but-distant producer, and his mawkish cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/qIwyDf5k0eNsrfQjd0HCkeraNGD.jpg
The Incredibles;2004;Bob Parr has given up his superhero days to log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives a mysterious assignment, it`s time to get back into costume.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/2LqaLgk4Z226KkgPJuiOQ58wvrm.jpg
La haine;1995;After a chaotic night of rioting in a marginal suburb of Paris, three young friends, Vinz, Hubert and Saïd, wander around unoccupied waiting for news about the state of health of a mutual friend who has been seriously injured when confronting the police.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/8rgPyWjYZhsphSSxbXguMnhN7H0.jpg
To Be or Not to Be;1942;During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier`s efforts to track down a German spy.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/dDQRpEoyjHT4fzw9cNklIvZuXYg.jpg
Pirates of the Caribbean: The Curse of the Black Pearl;2003;Jack Sparrow, a freewheeling 18th-century pirate, quarrels with a rival pirate bent on pillaging Port Royal. When the governor`s daughter is kidnapped, Sparrow decides to help the girl`s love save her.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/z8onk7LV9Mmw6zKz4hT6pzzvmvl.jpg
Hachi: A Dog`s Tale;2009;A drama based on the true story of a college professor`s bond with the abandoned dog he takes into his home.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/lsy3aEsEfYIHdLRk4dontZ4s85h.jpg
The Battle of Algiers;1966;Tracing the struggle of the Algerian Front de Liberation Nationale to gain freedom from French colonial rule as seen through the eyes of Ali from his start as a petty thief to his rise to prominence in the organisation and capture by the French in 1957. The film traces the rebels` struggle and the increasingly extreme measures taken by the French government to quell the revolt.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/1eEN4ubAFB4N2Rl9syqPVCcwrGG.jpg
Pather Panchali;1955;Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/frZj5djlU9hFEjMcL21RJZVuG5O.jpg
The Grapes of Wrath;1940;Tom Joad returns to his home after a jail sentence to find his family kicked out of their farm due to foreclosure. He catches up with them on his Uncle’s farm, and joins them the next day as they head for California and a new life... Hopefully.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/eUcxMVBIA0Jg8l1RGUqycrc3eIQ.jpg
My Father and My Son;2005;A left-wing journalist whose wife died while giving birth to his son during a military coup returns to his family`s farm. Estranged from his father for turning his back on the family and wasting his life with political activism instead, he tries to reconnect with him so that his son will have a place to live as his health is deteriorating due to the extensive torture he had to endure.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/dcKY23xowYTU9B1cagUdHQwsxOB.jpg
Amores Perros;2000;A fatalistic car crash in Mexico city sets off a chain of events in the lives of three people: a supermodel, a young man wanting to run off with his sister-in-law, and a homeless man. Their lives are catapulted into unforeseen situations instigated by the seemingly inconsequential destiny of a dog.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/vV4vlD4ool5JSsS1rB82qjCF6z8.jpg
Jai Bhim;2021;A pregnant woman from a primitive tribal community, searches desperately for her husband, who is missing from police custody. So as to find her husband and seek justice for them, as their voice, a High Court advocate rises in support. Will their battle for justice succeed?;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/zb9QBUn5AZzoKCS2jsnhp6ySSGp.jpg
Rebecca;1940;Story of a young woman who marries a fascinating widower only to find out that she must live in the shadow of his former wife, Rebecca, who died mysteriously several years earlier. The young wife must come to grips with the terrible secret of her handsome, cold husband, Max De Winter. She must also deal with the jealous, obsessed Mrs. Danvers, the housekeeper, who will not accept her as the mistress of the house.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/1qz3qUOHnVy7dL7M7G8jSErxE4b.jpg
The Handmaiden;2016;In 1930s Korea, a swindler and a young woman pose as a Japanese count and a handmaiden to seduce a Japanese heiress and steal her fortune.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/x2lZKoKPqVodhYTYbVaCC3NjhdK.jpg
Cool Hand Luke;1967;"When petty criminal Luke Jackson is sentenced to two years in a Florida prison farm, he doesn`t play by the rules of either the sadistic warden or the yard`s resident heavy, Dragline, who ends up admiring the new guy`s unbreakable will. Luke`s bravado, even in the face of repeated stints in the prison`s dreaded solitary confinement cell, ""the box,"" make him a rebel hero to his fellow convicts and a thorn in the side of the prison officers.";https://www.themoviedb.org/t/p/w600_and_h900_bestv2/4ykzTiHKLamh3eZJ8orVICtU2Jp.jpg
The Sound of Music;1965;In the years before the Second World War, a tomboyish postulant at an Austrian abbey is hired as a governess in the home of a widowed naval captain with seven children, and brings a new love of life and music into the home.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/xvXiJggaxRrU4jLjTXCmqnqEsGd.jpg
It Happened One Night;1934;A renegade reporter and a young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/2PNUGWAflH6UUumas0POMmokHlc.jpg
The 400 Blows;1959;For young Parisian boy Antoine Doinel, life is one difficult situation after another. Surrounded by inconsiderate adults, including his neglectful parents, Antoine spends his days with his best friend, Rene, trying to plan for a better life. When one of their schemes goes awry, Antoine ends up in trouble with the law, leading to even more conflicts with unsympathetic authority figures.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/12PuU23kkDLvTd0nb8hMlE3oShB.jpg
Persona;1966;A young nurse, Alma, is put in charge of Elisabeth Vogler: an actress who is seemingly healthy in all respects, but will not talk. As they spend time together, Alma speaks to Elisabeth constantly, never receiving any answer. The time they spend together only strengthens the crushing realization that one does not exist.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/bdXbfUir63TQHA5NTNcXPICZCW8.jpg
Life of Brian;1979;Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he`s not dodging his followers or being scolded by his shrill mother, the hapless Brian has to contend with the pompous Pontius Pilate and acronym-obsessed members of a separatist movement. Rife with Monty Python`s signature absurdity, the tale finds Brian`s life paralleling Biblical lore, albeit with many more laughs.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/lSSA64WF0M0BXnjwr2quMh6shCl.jpg
The Iron Giant;1999;In the small town of Rockwell, Maine in October 1957, a giant metal machine befriends a nine-year-old boy and ultimately finds its humanity by unselfishly saving people from their own fears and prejudices.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/mThOw5rXLtdbY3WmuTsS9zsQBMG.jpg
The Help;2011;"Aibileen Clark is a middle-aged African-American maid who has spent her life raising white children and has recently lost her only son; Minny Jackson is an African-American maid who has often offended her employers despite her family`s struggles with money and her desperate need for jobs; and Eugenia ""Skeeter"" Phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared. These three stories intertwine to explain how life in Jackson, Mississippi revolves around ""the help""; yet they are always kept at a certain distance because of racial lines.";https://www.themoviedb.org/t/p/w600_and_h900_bestv2/3kmfoWWEc9Vtyuaf9v5VipRgdjx.jpg
Aladdin;1992;Princess Jasmine grows tired of being forced to remain in the palace, so she sneaks out into the marketplace, in disguise, where she meets street-urchin Aladdin.  The couple falls in love, although Jasmine may only marry a prince.  After being thrown in jail, Aladdin becomes embroiled in a plot to find a mysterious lamp, with which the evil Jafar hopes to rule the land.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/x5LLRJ2WSSDSb2kvq9zNQ4GS37q.jpg
Dances with Wolves;1990;Wounded Civil War soldier, John Dunbar tries to commit suicide—and becomes a hero instead. As a reward, he`s assigned to his dream post, a remote junction on the Western frontier, and soon makes unlikely friends with the local Sioux tribe.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/cvaBVpS0GzKqBd63pFT8f1E8OKv.jpg
