Role;movie_id;artist_id
Actor;246;190
Director;247;464
Actor;247;499
Actor;247;133
Director;248;421
Actor;248;435
Actor;248;417
Director;249;281
Actor;249;281
Actor;249;333
Director;250;5
Actor;250;319
Actor;250;517
